 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
171,image.tiff:0448-0951,173,101.301,10.344,93,84,135,950.228,448.731,950.057,448.766,53.921,941,442,20,13,21.648,10.175,157.786,0.748,22.361,17525,98,0.896,0.124,0,17525,1,941,444,153.435,11.629,2.128,0.470,0.906
172,image.tiff:0439-0954,143,99.266,9.331,91,87,140,954.157,440.003,953.966,439.960,48.058,946,433,17,13,19.088,9.539,152.756,0.778,19.416,14195,97,2.019,1.701,0,14195,1,947,434,145.491,10.288,2.001,0.500,0.908
173,image.tiff:0430-0959,263,138.395,45.503,99,87,255,957.892,431.652,960.188,432.951,94.613,942,417,34,27,43.562,7.687,141.778,0.369,42.202,36398,123,0.957,-0.283,0,36398,1,942,418,143.673,9.530,5.667,0.176,0.768
174,image.tiff:0550-0940,134,104.201,6.290,102,92,126,939.612,550.231,939.608,550.204,43.523,933,544,14,13,15.318,11.138,39.731,0.889,16.643,13963,104,-2.886,70.933,0,13963,1,933,555,32.735,11.881,1.375,0.727,0.915
175,image.tiff:0551-0985,100,113.200,7.981,110,99,135,985.410,550.890,985.372,550.870,39.940,980,544,11,14,16.192,7.864,57.010,0.788,16.643,11320,113,-0.436,21.290,0,11320,1,981,558,57.265,8.808,2.059,0.486,0.901
176,image.tiff:0558-0998,196,106.077,9.294,104,87,137,998.403,557.974,998.338,558.185,53.952,991,549,15,18,21.083,11.837,52.745,0.846,22.804,20791,104,1.929,-13.231,0,20791,1,991,567,52.125,12.728,1.781,0.561,0.945
177,image.tiff:0513-1002,132,106.485,8.294,103,90,138,1002.333,513.977,1002.365,513.884,43.186,995,508,15,11,15.544,10.812,14.071,0.889,16.155,14056,105,-0.348,19.778,0,14056,1,995,518,21.801,11.000,1.438,0.696,0.933
178,image.tiff:0495-1001,236,114.165,10.865,105,93,143,1002.017,494.314,1002.311,494.681,70.058,989,485,25,20,29.966,10.027,140.785,0.604,30.232,26943,113,-0.046,6.695,0,26943,1,989,487,145.784,11.277,2.988,0.335,0.879
179,image.tiff:0355-0917,93,112.194,10.629,106,97,152,917.876,354.790,917.854,354.824,38.881,912,349,11,13,13.234,8.948,124.297,0.773,13.928,10434,110,1.835,-6.917,0,10434,1,915,349,111.038,10.381,1.479,0.676,0.827
180,image.tiff:0372-0923,198,121.076,13.860,112,93,154,924.424,372.308,924.140,372.325,64.274,910,367,27,10,27.287,9.239,4.345,0.602,27.459,23973,121,0.260,-1.084,0,23973,1,910,373,10.491,10.000,2.953,0.339,0.868
181,image.tiff:0443-0929,122,107.270,9.089,99,91,134,928.885,443.377,928.783,443.442,41.406,924,436,10,15,15.385,10.097,91.813,0.894,15.811,13087,105,0.308,5.689,0,13087,1,926,436,108.435,10.000,1.524,0.656,0.931
182,image.tiff:0433-0937,111,102.793,7.886,108,88,125,937.554,433.914,937.511,433.868,39.280,932,427,11,13,13.811,10.233,121.771,0.904,14.765,11410,101,1.156,-11.097,0,11410,1,935,427,118.301,10.607,1.350,0.741,0.945
183,image.tiff:0433-0910,145,118.207,14.761,105,95,157,910.597,433.176,910.176,433.059,47.375,901,428,19,10,18.973,9.731,179.260,0.812,19.416,17140,114,0.733,-0.852,0,17140,1,901,431,168.111,10.000,1.950,0.513,0.915
184,image.tiff:0447-0910,187,120.583,12.976,109,92,157,909.767,446.537,909.509,446.499,59.687,899,441,23,13,23.616,10.082,14.421,0.660,24.698,22549,118,0.876,-2.923,0,22549,1,899,453,21.371,11.725,2.342,0.427,0.844
185,image.tiff:0410-0902,136,114.125,10.652,106,94,143,902.191,409.846,902.008,409.855,42.947,896,403,12,14,14.116,12.267,73.960,0.927,15.000,15521,113,-0.283,11.663,0,15521,1,898,416,53.130,12.000,1.151,0.869,0.935
186,image.tiff:0546-1014,82,116.317,16.268,106,92,158,1013.195,546.927,1013.137,546.519,41.188,1010,539,6,15,16.020,6.517,86.610,0.607,16.155,9538,112,0.723,-1.755,0,9538,1,1011,554,68.199,8.000,2.458,0.407,0.722
187,image.tiff:0569-1010,139,109.727,8.586,107,95,139,1010.083,570.507,1010.191,570.350,51.382,1002,563,14,13,15.928,11.111,37.648,0.662,20.248,15252,108,4.746,-62.954,0,15252,1,1002,575,32.905,13.000,1.434,0.698,0.762
188,image.tiff:0338-0640,263,121.224,10.255,117,95,154,639.804,338.401,639.555,338.227,66.347,631,326,18,24,26.252,12.755,123.231,0.751,27.295,31882,121,0.709,-4.750,0,31882,1,634,326,118.443,13.810,2.058,0.486,0.912
